Name of Owner,Address,AccountNum,Debt Date Incurred,Basis for Claim,Contigent,Unliquidated,Disputed,offset,Total Claim,Page Number
Name on File,Address on File,on File,10/26/2020,Retail Crypto‐Backed Loan,,,,Y,"$36,296.27",104
Name on File,Address on File,on File,9/22/2021,BPC Open and/or Term Loan,,,,,$716.14,104
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$3.33,104
Name on File,Address on File,on File,4/27/2020,Retail Crypto‐Backed Loan,,,,Y,"$1,382.85",104
Name on File,Address on File,on File,1/28/2021,Retail Crypto‐Backed Loan,,,,Y,"$6,503.42",104
Name on File,Address on File,on File,10/29/2020,Retail Crypto‐Backed Loan,,,,Y,"$36,579.80",104
Name on File,Address on File,on File,9/27/2020,BPC Open and/or Term Loan,,,,,"$13,309.57",104
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$58.35,104
Name on File,Address on File,on File,12/21/2020,BPC Open and/or Term Loan,,,,,"$452,209.73",104
Name on File,Address on File,on File,1/9/2021,BPC Open and/or Term Loan,,,,,"$133,404.25",104
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$56.06,104
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$562.59,104
Name on File,Address on File,on File,4/30/2021,BPC Open and/or Term Loan,,,,,$16.99,104
Name on File,Address on File,on File,4/30/2021,Retail Crypto‐Backed Loan,,,,Y,"$205,647.99",104
